Nome,total,percentual,popularidade
JUCILENE,30493,0.017,793
ADRIAN,30406,0.017,794
DIONE,30390,0.017,795
GILDA,30360,0.017,796
MATILDE,30270,0.017,797
FAGNER,30203,0.017,798
MARLUCE,30155,0.017,799
GLEICE,30049,0.017,800
EVELYN,30035,0.017,801
DORIVAL,30006,0.017,802
EDVAN,29953,0.017,803
ESTEFANE,29947,0.017,804
JUVENAL,29946,0.017,805
JACIARA,29931,0.017,806
JOSEMAR,29931,0.017,807
NEIVA,29901,0.017,808
ARIEL,29864,0.017,809
GENIVAL,29422,0.016,810
KAUE,29412,0.016,811
IVANIR,29391,0.016,812
LAISA,29315,0.016,813
IURI,29237,0.016,814
ROMILDA,29227,0.016,815
SAMANTA,29135,0.016,816
OLINDA,29108,0.016,817
ROSIMERE,29074,0.016,818
JANICE,29032,0.016,819
YAGO,28859,0.016,820
MARINEIDE,28838,0.016,821
EVERSON,28801,0.016,822
IEDA,28766,0.016,823
BEATRIS,28742,0.016,824
EDVANIA,28720,0.016,825
LAVINIA,28701,0.016,826
JUREMA,28648,0.016,827
FRANCILENE,28642,0.016,828
RAISA,28600,0.016,829
ELANE,28572,0.016,830
EUGENIO,28538,0.016,831
GELSON,28514,0.016,832
AGENOR,28461,0.016,833
WALACE,28427,0.016,834
LUDIMILA,28399,0.016,835
ILZA,28358,0.016,836
MARILZA,28274,0.016,837
JARDEL,28247,0.016,838
ADELINA,28234,0.016,839
JADSON,28137,0.016,840
GRACIELE,28127,0.016,841
JOSEFINA,27996,0.016,842
SHIRLEI,27978,0.016,843
KELVIN,27852,0.016,844
DALILA,27650,0.015,845
EMANOEL,27630,0.015,846
ADRIEL,27576,0.015,847
IVANILDE,27516,0.015,848
ROSIMAR,27506,0.015,849
WILIAM,27496,0.015,850
RONI,27483,0.015,851
ELIEL,27471,0.015,852
LEIA,27401,0.015,853
RONALD,27222,0.015,854
NOELI,27110,0.015,855
ISAAC,27100,0.015,856
NAIANE,27053,0.015,857
GIOVANE,26983,0.015,858
GETULIO,26978,0.015,859
ABEL,26891,0.015,860
JOSIVALDO,26870,0.015,861
NOEMI,26815,0.015,862
JENNIFER,26549,0.015,863
MARCELINO,26527,0.015,864
CAUE,26526,0.015,865
CAROLAINE,26518,0.015,866
NATALINA,26493,0.015,867
EUCLIDES,26311,0.015,868
CLEIDIANE,26204,0.015,869
MARI,26113,0.015,870
YAN,26078,0.015,871
NAZARE,25915,0.014,872
ALBERTINA,25910,0.014,873
TAISA,25814,0.014,874
YARA,25768,0.014,875
MAGALI,25699,0.014,876
AGUINALDO,25667,0.014,877
KAROLINE,25598,0.014,878
DARLAN,25418,0.014,879
WEVERTON,25407,0.014,880
KELY,25396,0.014,881
MACIEL,25384,0.014,882
WILMA,25361,0.014,883
LARISA,25332,0.014,884
EDIVANIA,25261,0.014,885
EXPEDITO,25206,0.014,886
CLODOALDO,25168,0.014,887
ENIO,25122,0.014,888
ELVIS,25113,0.014,889
ALOISIO,25099,0.014,890
EDIVAN,25041,0.014,891
VALDELICE,24912,0.014,892
CREUSA,24841,0.014,893
CLAUDIANE,24828,0.014,894
JUCELIA,24738,0.014,895
GEISA,24684,0.014,896
LILIA,24641,0.014,897
KAUANE,24619,0.014,898
CRISLAINE,24589,0.014,899
TULIO,24537,0.014,900
MARLY,24515,0.014,901
EDNALVA,24482,0.014,902
ADELINO,24468,0.014,903
ROSENILDA,24438,0.014,904
TADEU,24372,0.014,905
CLEIA,24370,0.014,906
ANNE,24350,0.014,907
EDINALVA,24326,0.014,908
BERENICE,24253,0.014,909
IVANA,24212,0.014,910
CLAUDIONOR,24196,0.013,911
FRANCINE,24158,0.013,912
JHONATA,24134,0.013,913
SAVIO,24111,0.013,914
EDINEIA,24096,0.013,915
